"","Specie","Total_length","Estándar_length","Fork_length","Total_weight","Sex","Taxonomic_family"
"86","Mugil incilis",31.5,25.7,28.8,177,"Hembra","Mugilidae"
"87","Caranx crysos",29,22,24.5,307,"Hembra","Carangidae"
"88","Caranx crysos",28.9,22,24.9,289,"Hembra","Carangidae"
"89","Caranx crysos",30.7,23.3,25.7,313,"Hembra","Carangidae"
"90","Mugil incilis",19.5,15.7,17.7,71,"Hembra","Mugilidae"
"91","Caranx crysos",21.6,16.4,18.4,145,"Hembra","Carangidae"
"92","Caranx crysos",21,16,18.1,128,"Hembra","Carangidae"
"93","Mugil incilis",31.8,25.3,28.9,162,"Macho","Mugilidae"
"94","Mugil incilis",26.6,21.5,24.4,167,"Hembra","Mugilidae"
"95","Mugil incilis",23.7,19.3,21.9,123,"Hembra","Mugilidae"
"96","Mugil incilis",25.1,20.1,23,147,"Hembra","Mugilidae"
"97","Mugil incilis",21.9,17.5,20,90,"Hembra","Mugilidae"
"98","Mugil incilis",34.5,26.4,31.3,251,"Hembra","Mugilidae"
"99","Lutjanus synagris",20.2,15.7,18.8,113,"Macho","Lutjanidae"
"100","Mugil incilis",30.9,23.6,27.7,206,"Hembra","Mugilidae"
"101","Mugil incilis",39.5,31.8,36.2,387,"Hembra","Mugilidae"
"102","Mugil incilis",38.8,30.7,35.1,366,"Hembra","Mugilidae"
"103","Mugil incilis",31.7,24.2,29.2,219,"Macho","Mugilidae"
"104","Mugil incilis",34.1,26.3,31.1,290,"Hembra","Mugilidae"
"105","Mugil incilis",31.5,24.6,28.5,225,"Hembra","Mugilidae"
"106","Caranx crysos",28.3,21.7,24.5,285,"Macho","Carangidae"
"107","Caranx crysos",29,22,24.7,302,"Macho","Carangidae"
"108","Caranx crysos",31.7,24.2,26.8,381,"Macho","Carangidae"
"109","Mugil incilis",34.7,26.7,31.5,376,"Hembra","Mugilidae"
"110","Mugil incilis",33.1,25.7,30.3,285,"Hembra","Mugilidae"
"111","Mugil incilis",32.5,25.2,29.5,278,"Macho","Mugilidae"
"112","Mugil incilis",32.9,25,30,260,"Macho","Mugilidae"
"113","Mugil incilis",31.6,24,29,236,"Hembra","Mugilidae"
"114","Mugil incilis",32.3,25,29.4,225,"Macho","Mugilidae"
"115","Caranx crysos",31.6,24.1,26.7,368,"Hembra","Carangidae"
"116","Caranx crysos",28.1,21.3,23.7,250,"Hembra","Carangidae"
"117","Mugil incilis",28.7,22,26,196,"Hembra","Mugilidae"
"118","Mugil incilis",29.7,22.8,27.3,211,"Macho","Mugilidae"
"119","Mugil incilis",30.6,23.5,27.9,213,"Macho","Mugilidae"
"120","Mugil incilis",22.5,18.5,20.9,97,"Macho","Mugilidae"
"121","Mugil incilis",21.1,17.2,19.5,86,"Hembra","Mugilidae"
"122","Mugil incilis",20.9,17.1,19.5,84,"Hembra","Mugilidae"
"123","Mugil incilis",31,25.1,28.8,245,"Hembra","Mugilidae"
"124","Lutjanus synagris",26.6,21.1,25.2,270,"Hembra","Lutjanidae"
"125","Lutjanus synagris",22.7,18.3,21.1,162,"Macho","Lutjanidae"
"126","Lutjanus synagris",20.7,16.2,19.5,135,"Hembra","Lutjanidae"
"127","Mugil incilis",33.4,26,30.5,303,"Hembra","Mugilidae"
"128","Mugil incilis",36.2,29.3,33.2,344,"Hembra","Mugilidae"
"129","Caranx crysos",21.6,16.4,18.4,128,"Hembra","Carangidae"
"130","Caranx crysos",21.6,16.6,18.7,106,"Macho","Carangidae"
"131","Caranx crysos",31.6,24.5,27,361,"Hembra","Carangidae"
"132","Caranx crysos",30.5,23.4,25.6,335,"Hembra","Carangidae"
"133","Mugil incilis",21.2,17,19.4,90,"Hembra","Mugilidae"
"134","Mugil incilis",27.2,22.2,25.4,150,"Hembra","Mugilidae"
"135","Mugil incilis",22.6,18.3,20.7,93,"Macho","Mugilidae"
"136","Mugil incilis",32,25,29.7,278,"Hembra","Mugilidae"
"137","Mugil incilis",36.2,27.8,32.7,361,"Hembra","Mugilidae"
"138","Mugil incilis",34,26,31,313,"Hembra","Mugilidae"
"139","Mugil incilis",29.5,23.8,26.5,188,"Hembra","Mugilidae"
"140","Mugil incilis",28.6,22,26,193,"Macho","Mugilidae"
"141","Mugil incilis",19,15.2,17.4,62,"Hembra","Mugilidae"
"142","Mugil incilis",20.6,16.8,19,78,"Hembra","Mugilidae"
"143","Mugil incilis",24.8,20.4,23.3,138,"Hembra","Mugilidae"
"144","Mugil incilis",21.2,17.2,19.5,84,"Macho","Mugilidae"
"145","Mugil incilis",30,23.3,27.3,214,"Macho","Mugilidae"
"146","Mugil incilis",30,24.4,27.5,213,"Macho","Mugilidae"
"147","Mugil incilis",36.6,28,33.3,357,"Hembra","Mugilidae"
"148","Mugil incilis",34.7,26.5,31.6,290,"Hembra","Mugilidae"
"149","Mugil incilis",34.6,26,30.8,291,"Hembra","Mugilidae"
"150","Mugil incilis",33.3,25.5,30.5,293,"Hembra","Mugilidae"
"151","Mugil incilis",31.7,24.3,28.7,273,"Macho","Mugilidae"
"152","Mugil incilis",29.7,22,26.4,210,"Macho","Mugilidae"
"153","Lutjanus synagris",15.8,12.7,14.9,55,"Hembra","Lutjanidae"
"154","Lutjanus synagris",14.5,11.2,13.9,45,"Macho","Lutjanidae"
"155","Lutjanus synagris",13.7,11.1,13.2,42,"Macho","Lutjanidae"
"156","Mugil incilis",36,28.8,32.3,280,"Macho","Mugilidae"
"157","Mugil incilis",39.8,31.8,36,392,"Hembra","Mugilidae"
"158","Mugil incilis",38.1,30.7,34.6,402,"Hembra","Mugilidae"
"159","Mugil incilis",35,27.3,32,294,"Hembra","Mugilidae"
"160","Mugil incilis",33.6,27.1,30.9,246,"Hembra","Mugilidae"
"161","Mugil incilis",27.6,21.8,25.2,164,"Hembra","Mugilidae"
"162","Mugil incilis",37.3,28.7,34,353,"Macho","Mugilidae"
"163","Lutjanus synagris",24,18.8,22.4,210,"Macho","Lutjanidae"
"164","Lutjanus synagris",20.8,16.4,19.5,119,"Macho","Lutjanidae"
"165","Lutjanus synagris",19.8,15.5,18.4,106,"Hembra","Lutjanidae"
"166","Lutjanus synagris",19.8,15.7,18.7,105,"Macho","Lutjanidae"
"167","Lutjanus synagris",26,20.9,24.4,249,"Macho","Lutjanidae"
"168","Lutjanus synagris",22.8,18,21.2,166,"Hembra","Lutjanidae"
"169","Eugerres plumieri",15.8,11.3,12.7,64,"Hembra","Gerreidae"
"170","Mugil incilis",37,28,33.5,335,"Hembra","Mugilidae"
"171","Mugil incilis",31.5,24.7,29,225,"Macho","Mugilidae"
"172","Mugil incilis",29.7,22.8,27.3,211,"Macho","Mugilidae"
"173","Mugil incilis",32,25.2,29.1,238,"Hembra","Mugilidae"
"174","Mugil incilis",29.4,23.1,26.8,186,"Macho","Mugilidae"
"175","Mugil incilis",33.4,25.8,30.4,308,"Macho","Mugilidae"
"176","Lutjanus synagris",25.1,20.3,24.2,242,"Hembra","Lutjanidae"
"177","Lutjanus synagris",26.2,20.7,24.8,251,"Hembra","Lutjanidae"
"178","Lutjanus synagris",23,18.4,22.4,179,"Macho","Lutjanidae"
"179","Lutjanus synagris",23.2,18.5,22.2,184,"Macho","Lutjanidae"
"180","Lutjanus synagris",24.6,19.5,23.8,224,"Macho","Lutjanidae"
"181","Mugil incilis",35.7,28,32.5,295,"Hembra","Mugilidae"
"182","Mugil incilis",30,23.5,27.7,250,"Hembra","Mugilidae"
"183","Mugil incilis",32.4,25.2,29.5,272,"Macho","Mugilidae"
"184","Mugil incilis",36.4,28.6,33.1,334,"Hembra","Mugilidae"
"185","Lutjanus synagris",21.7,17.2,20.5,179,"Macho","Lutjanidae"
"186","Mugil incilis",31.3,24.9,28.3,230,"Hembra","Mugilidae"
"187","Mugil incilis",33,25,29.2,266,"Macho","Mugilidae"
"188","Mugil incilis",33.1,26.8,30.3,306,"Hembra","Mugilidae"
"189","Mugil incilis",36.7,29.6,33.4,380,"Hembra","Mugilidae"
"190","Mugil incilis",34,27.3,31.3,315,"Hembra","Mugilidae"
"191","Mugil incilis",31.6,25.1,28.8,210,"Hembra","Mugilidae"
"192","Caranx crysos",26.6,20.6,22.6,210,"Macho","Carangidae"
"193","Mugil incilis",34.5,27.2,31.3,313,"Hembra","Mugilidae"
"194","Caranx crysos",30.2,23.4,26.2,320,"Hembra","Carangidae"
"195","Caranx crysos",31,24,27.1,330,"Macho","Carangidae"
"196","Mugil incilis",43.7,33.8,40,580,"Hembra","Mugilidae"
"197","Mugil incilis",42,33,38.6,615,"Hembra","Mugilidae"
"198","Mugil incilis",40.5,30.5,36.5,516,"Hembra","Mugilidae"
"199","Lutjanus synagris",22.5,17.8,20.2,154,"Hembra","Lutjanidae"
"200","Lutjanus synagris",22,17.5,20.7,147,"Hembra","Lutjanidae"
"201","Lutjanus synagris",20,16,18.9,117,"Hembra","Lutjanidae"
"202","Mugil incilis",21.5,17.1,20.6,93,"Hembra","Mugilidae"
"203","Mugil incilis",31.8,24,28.6,250,"Macho","Mugilidae"
"204","Lutjanus synagris",20.9,16.5,19.6,113,"Macho","Lutjanidae"
"205","Lutjanus synagris",22.3,18,21.1,145,"Hembra","Lutjanidae"
"206","Lutjanus synagris",20,15.6,18.7,112,"Macho","Lutjanidae"
"207","Mugil incilis",33.5,26.6,30.5,259,"Hembra","Mugilidae"
"208","Mugil incilis",35.3,27,32.2,355,"Hembra","Mugilidae"
"209","Mugil incilis",33.7,25.3,30.3,285,"Hembra","Mugilidae"
"210","Caranx crysos",27.2,21,23.2,220,"Hembra","Carangidae"
"211","Caranx crysos",28.1,21.1,23.8,252,"Hembra","Carangidae"
"212","Mugil incilis",35.4,28,31.8,270,"Hembra","Mugilidae"
"213","Mugil incilis",33.6,25.7,30.3,313,"Macho","Mugilidae"
"214","Mugil incilis",31.1,24,28.3,252,"Macho","Mugilidae"
"215","Mugil incilis",29.3,23.2,26.4,209,"Hembra","Mugilidae"
"216","Mugil incilis",32,25.5,29.1,274,"Hembra","Mugilidae"
"217","Mugil incilis",34.9,27.8,31.8,317,"Hembra","Mugilidae"
"218","Mugil incilis",34.2,27.4,31.3,290,"Hembra","Mugilidae"
"219","Mugil incilis",31,24.6,28.2,248,"Hembra","Mugilidae"
"220","Mugil incilis",32.2,26.5,29.3,253,"Hembra","Mugilidae"
"221","Mugil incilis",42,32,38.5,551,"Hembra","Mugilidae"
"222","Mugil incilis",43.8,34.2,40.2,595,"Hembra","Mugilidae"
"223","Mugil incilis",29.6,23.7,26.8,216,"Hembra","Mugilidae"
"224","Mugil incilis",32.4,25.2,29.5,272,"Macho","Mugilidae"
"225","Eugerres plumieri",24.7,18.5,20.5,217,"Hembra","Gerreidae"
"226","Eugerres plumieri",20,15,16.5,116,"Hembra","Gerreidae"
"227","Eugerres plumieri",22.5,17.5,19.2,189,"Macho","Gerreidae"
"228","Caranx crysos",24.7,18.8,21.2,156,"Hembra","Carangidae"
"229","Lutjanus synagris",21.6,17.3,20.2,135,"Macho","Lutjanidae"
"230","Lutjanus synagris",20.6,16.7,19.4,120,"Hembra","Lutjanidae"
"231","Mugil incilis",34,25.3,30,343,"Hembra","Mugilidae"
"232","Mugil incilis",32.3,24.3,29,270,"Hembra","Mugilidae"
"233","Mugil incilis",35.4,26.5,31.5,304,"Hembra","Mugilidae"
"234","Mugil incilis",30.9,23.3,27.7,231,"Macho","Mugilidae"
"235","Mugil incilis",28.7,22,26,207,"Macho","Mugilidae"
"236","Mugil incilis",40.4,30.3,36.6,540,"Hembra","Mugilidae"
"237","Mugil incilis",31.2,24.9,28.5,245,"Hembra","Mugilidae"
"238","Mugil incilis",32.9,26,29.7,263,"Hembra","Mugilidae"
"239","Eugerres plumieri",23.7,17.8,19.5,233,"Hembra","Gerreidae"
"240","Eugerres plumieri",25.6,19,20.5,254,"Hembra","Gerreidae"
"241","Eugerres plumieri",20.4,15.2,16.3,123,"Hembra","Gerreidae"
"242","Lutjanus synagris",18,14.4,17.4,92,"Macho","Lutjanidae"
"243","Mugil incilis",24.9,19.7,22.8,145,"Macho","Mugilidae"
"244","Mugil incilis",30.9,24.6,28.2,263,"Hembra","Mugilidae"
"245","Mugil incilis",36.2,26.7,32.3,361,"Hembra","Mugilidae"
"246","Mugil incilis",34,26,31,309,"Hembra","Mugilidae"
"247","Mugil incilis",27,21.5,24.8,165,"Macho","Mugilidae"
"248","Mugil incilis",32.7,25.8,29.5,225,"Hembra","Mugilidae"
"249","Mugil incilis",30.9,25,28.5,274,"Hembra","Mugilidae"
"250","Mugil incilis",38.3,29,34.5,445,"Hembra","Mugilidae"
"251","Mugil incilis",31.6,25.4,28.8,245,"Hembra","Mugilidae"
"252","Mugil incilis",40,30.5,36.5,485,"Hembra","Mugilidae"
"253","Mugil incilis",43.6,34,39.9,585,"Hembra","Mugilidae"
"254","Lutjanus synagris",27.4,21.8,25.7,283,"Macho","Lutjanidae"
"255","Lutjanus synagris",23.2,18.8,22,195,"Macho","Lutjanidae"
"256","Lutjanus synagris",21.6,16.9,19.9,138,"Macho","Lutjanidae"
"257","Lutjanus synagris",22.4,17,20.2,153,"Hembra","Lutjanidae"
"258","Mugil incilis",30.5,24.3,27.7,220,"Macho","Mugilidae"
"259","Mugil incilis",36.5,28,33,357,"Hembra","Mugilidae"
"260","Mugil incilis",42.4,32.2,38.4,561,"Hembra","Mugilidae"
"261","Mugil incilis",38,29,34.5,440,"Hembra","Mugilidae"
"262","Mugil incilis",41,30.8,36.8,505,"Hembra","Mugilidae"
"263","Mugil incilis",43.2,33.4,39.5,623,"Hembra","Mugilidae"
"264","Mugil incilis",44,34,40.3,715,"Hembra","Mugilidae"
"265","Mugil incilis",38.4,30.8,34.9,393,"Hembra","Mugilidae"
"266","Mugil incilis",37.5,30.2,34.6,348,"Hembra","Mugilidae"
"267","Lutjanus synagris",20.1,16,19,115,"Macho","Lutjanidae"
"268","Lutjanus synagris",21.3,17,20.1,133,"Hembra","Lutjanidae"
"269","Lutjanus synagris",20.9,16.5,19.5,114,"Macho","Lutjanidae"
"270","Lutjanus synagris",21.1,16.8,19.9,127,"Macho","Lutjanidae"
"271","Lutjanus synagris",19.8,15.6,18.7,102,"Hembra","Lutjanidae"
"272","Lutjanus synagris",21,16.7,19.9,120,"Macho","Lutjanidae"
"273","Eugerres plumieri",22.3,16.6,18.8,166,"Hembra","Gerreidae"
"274","Mugil incilis",27.6,21.7,25.3,196,"Macho","Mugilidae"
"275","Mugil incilis",28.3,22.4,26.2,206,"Macho","Mugilidae"
"276","Mugil incilis",30.2,24.4,27.8,256,"Macho","Mugilidae"
"277","Mugil incilis",29.5,22.7,26.7,222,"Macho","Mugilidae"
"278","Mugil incilis",33.2,25.3,30.3,300,"Hembra","Mugilidae"
"279","Mugil incilis",36.8,29.8,34,448,"Hembra","Mugilidae"
"280","Lutjanus synagris",18.6,14.8,17.6,90,"Hembra","Lutjanidae"
"281","Lutjanus synagris",20.7,16.5,19.5,118,"Macho","Lutjanidae"
"282","Lutjanus synagris",19.4,15.3,18.4,93,"Hembra","Lutjanidae"
"283","Lutjanus synagris",19.8,15.8,18.5,95,"Macho","Lutjanidae"
"284","Lutjanus synagris",20.6,16.4,19.5,117,"Hembra","Lutjanidae"
"285","Lutjanus synagris",18.5,14.6,17.3,88,"Hembra","Lutjanidae"
"286","Mugil incilis",28.6,21.4,24.2,162,"Hembra","Mugilidae"
"287","Mugil incilis",31.4,24,28.7,267,"Macho","Mugilidae"
"288","Mugil incilis",36.4,29,32.8,372,"Hembra","Mugilidae"
"289","Mugil incilis",29.3,22.2,26.6,215,"Macho","Mugilidae"
"290","Mugil incilis",34.7,27,31.4,311,"Hembra","Mugilidae"
"291","Mugil incilis",34.8,27.8,31.7,306,"Hembra","Mugilidae"
"292","Mugil incilis",40.7,31.5,37.3,586,"Hembra","Mugilidae"
"293","Mugil incilis",26,20.6,23.8,140,"Hembra","Mugilidae"
"294","Mugil incilis",32.8,26.2,30.1,281,"Macho","Mugilidae"
"295","Mugil incilis",24.7,20,22.8,141,"Hembra","Mugilidae"
"296","Lutjanus synagris",24.8,20.6,23.5,212,"Macho","Lutjanidae"
"297","Lutjanus synagris",25.6,20.9,24,232,"Macho","Lutjanidae"
"298","Lutjanus synagris",24.9,20.8,23.6,215,"Hembra","Lutjanidae"
"299","Lutjanus synagris",22.6,17.9,21.7,157,"Macho","Lutjanidae"
"300","Lutjanus synagris",21.3,16.5,19.7,130,"Macho","Lutjanidae"
"301","Mugil incilis",38.1,28.5,34,456,"Hembra","Mugilidae"
"302","Mugil incilis",35.8,27.2,32.5,378,"Hembra","Mugilidae"
"303","Mugil incilis",37.5,28.5,34,400,"Hembra","Mugilidae"
"304","Lutjanus synagris",21.6,17,19.8,126,"Macho","Lutjanidae"
"305","Mugil incilis",34.4,27.3,30.8,341,"Hembra","Mugilidae"
"306","Mugil incilis",29.9,23,27.2,230,"Macho","Mugilidae"
"307","Mugil incilis",32.3,24.5,29,275,"Macho","Mugilidae"
"308","Mugil incilis",37.2,29.5,33.8,340,"Macho","Mugilidae"
"309","Mugil incilis",34.2,27.2,31.2,267,"Hembra","Mugilidae"
"310","Mugil incilis",39.3,31.4,35.4,379,"Hembra","Mugilidae"
"311","Mugil incilis",33.8,27.2,30.9,284,"Hembra","Mugilidae"
"312","Mugil incilis",33.1,26,30.3,247,"Hembra","Mugilidae"
"313","Mugil incilis",36.6,29.4,33.2,385,"Hembra","Mugilidae"
"314","Mugil incilis",39.9,32.3,36.8,458,"Hembra","Mugilidae"
"315","Mugil incilis",34.7,26.5,31.5,308,"Macho","Mugilidae"
"316","Mugil incilis",32.8,25.6,30,313,"Hembra","Mugilidae"
"317","Mugil incilis",32.5,26,29.6,272,"Hembra","Mugilidae"
"318","Mugil incilis",31.1,25.4,28.8,255,"Hembra","Mugilidae"
"319","Mugil incilis",27.2,22.1,25,173,"Hembra","Mugilidae"
"320","Mugil incilis",23.5,18.7,21.5,112,"Hembra","Mugilidae"
"321","Mugil incilis",23.5,18.7,21.4,122,"Hembra","Mugilidae"
"322","Mugil incilis",23.5,18.9,21.5,117,"Hembra","Mugilidae"
"323","Mugil incilis",44.3,34.3,40.6,680,"Hembra","Mugilidae"
"324","Mugil incilis",42.7,32.8,39.3,609,"Hembra","Mugilidae"
"325","Mugil incilis",45,35,42,763,"Hembra","Mugilidae"
"326","Lutjanus synagris",19.9,15.8,18.7,109,"Macho","Lutjanidae"
"327","Lutjanus synagris",19.8,15.2,18.3,102,"Macho","Lutjanidae"
"328","Lutjanus synagris",21.3,16.8,19.6,138,"Macho","Lutjanidae"
"329","Lutjanus synagris",19.7,15.6,18.4,100,"Macho","Lutjanidae"
"330","Lutjanus synagris",21.6,17.2,20.2,139,"Macho","Lutjanidae"
"331","Lutjanus synagris",19.7,15.5,18.5,105,"Macho","Lutjanidae"
"332","Mugil incilis",31.3,24,28.7,258,"Hembra","Mugilidae"
"333","Mugil incilis",35.2,28.6,32.7,278,"Hembra","Mugilidae"
"334","Mugil incilis",34.8,28.2,32.4,350,"Hembra","Mugilidae"
"335","Mugil incilis",31.8,24.3,28.8,275,"Hembra","Mugilidae"
"336","Mugil incilis",32.6,25.6,29.7,280,"Hembra","Mugilidae"
"337","Mugil incilis",30.2,23,27.2,277,"Hembra","Mugilidae"
"338","Mugil incilis",34.2,27.2,31.1,276,"Hembra","Mugilidae"
"339","Mugil incilis",28.1,22,25.3,153,"Hembra","Mugilidae"
"340","Mugil incilis",37.9,29,34.4,426,"Hembra","Mugilidae"
"341","Mugil incilis",34.7,26.5,31.6,357,"Hembra","Mugilidae"
"342","Mugil incilis",34,26,31,324,"Macho","Mugilidae"
"343","Mugil incilis",41.5,32,37.8,603,"Hembra","Mugilidae"
"344","Mugil incilis",29.2,23.4,26.6,220,"Hembra","Mugilidae"
"345","Mugil incilis",32.6,25.7,30.4,335,"Hembra","Mugilidae"
"346","Lutjanus synagris",20.7,16.3,20,124,"Hembra","Lutjanidae"
"347","Mugil incilis",23.6,19.6,22,125,"Hembra","Mugilidae"
"348","Mugil incilis",24.7,20,22.6,134,"Hembra","Mugilidae"
"349","Mugil incilis",26.3,21.1,24.1,136,"Hembra","Mugilidae"
"350","Mugil incilis",23,18.6,21.2,101,"Hembra","Mugilidae"
"351","Mugil incilis",27.3,21.6,25.2,181,"Macho","Mugilidae"
"352","Mugil incilis",26.3,21.2,24.5,172,"Hembra","Mugilidae"
"353","Mugil incilis",33.6,27.5,31,291,"Hembra","Mugilidae"
"354","Mugil incilis",35.8,27,32.3,310,"Hembra","Mugilidae"
"355","Mugil incilis",37.3,28.7,34.3,400,"Hembra","Mugilidae"
"356","Mugil incilis",40.6,32.5,37.2,470,"Macho","Mugilidae"
"357","Mugil incilis",36.8,28.6,34,432,"Hembra","Mugilidae"
"358","Mugil incilis",30,23,27.2,235,"Macho","Mugilidae"
"359","Mugil incilis",36.7,28.3,33.3,433,"Hembra","Mugilidae"
"360","Lutjanus synagris",20.3,16.2,19.2,118,"Hembra","Lutjanidae"
"361","Mugil incilis",37.8,29,34.5,380,"Hembra","Mugilidae"
"362","Mugil incilis",32,24.5,29.3,294,"Hembra","Mugilidae"
"363","Lutjanus synagris",22.9,18.2,21.5,151,"Hembra","Lutjanidae"
"364","Lutjanus synagris",22.4,18.1,21.1,162,"Hembra","Lutjanidae"
"365","Lutjanus synagris",21.5,17,20.4,128,"Hembra","Lutjanidae"
"366","Mugil incilis",31.7,24.6,29.6,282,"Macho","Mugilidae"
