"","Specie","Total_length","Estándar_length","Fork_length","Total_weight","Sex","Taxonomic_family"
"1","Mugil incilis",31.3,24.8,28.5,218,"Macho","Mugilidae"
"2","Mugil incilis",32.2,25.6,29.2,269,"Hembra","Mugilidae"
"3","Mugil incilis",30,24,27.2,209,"Macho","Mugilidae"
"4","Mugil incilis",30,24.5,27.8,212,"Hembra","Mugilidae"
"5","Mugil incilis",35.5,28.3,32.2,339,"Hembra","Mugilidae"
"6","Mugil incilis",35.8,28.5,32.7,322,"Hembra","Mugilidae"
"7","Mugil incilis",33.6,27.3,30.6,299,"Hembra","Mugilidae"
"8","Mugil incilis",31,23.3,28,226,"Macho","Mugilidae"
"9","Mugil incilis",22.9,18.7,21.3,110,"Hembra","Mugilidae"
"10","Mugil incilis",21,17,19.4,84,"Macho","Mugilidae"
"11","Mugil incilis",22.5,18.3,20.9,96,"Macho","Mugilidae"
"12","Mugil incilis",22.1,18.1,20.8,106,"Macho","Mugilidae"
"13","Caranx crysos",26,20,22.2,207,"Hembra","Carangidae"
"14","Caranx crysos",25.1,19.5,21.1,167,"Macho","Carangidae"
"15","Caranx crysos",27.4,21,23.1,230,"Macho","Carangidae"
"16","Caranx crysos",27.1,20.2,22.7,218,"Hembra","Carangidae"
"17","Caranx crysos",28.3,21.1,24.5,263,"Hembra","Carangidae"
"18","Caranx crysos",29,22,24.7,277,"Macho","Carangidae"
"19","Mugil incilis",32,24.5,29.3,231,"Macho","Mugilidae"
"20","Mugil incilis",34.5,26.7,31.5,274,"Hembra","Mugilidae"
"21","Mugil incilis",30.8,23.3,27.7,222,"Macho","Mugilidae"
"22","Mugil incilis",25.7,21,23.7,124,"Hembra","Mugilidae"
"23","Mugil incilis",23.5,19.2,21.7,84,"Hembra","Mugilidae"
"24","Mugil incilis",22.1,17.7,20.4,97,"Hembra","Mugilidae"
"25","Mugil incilis",18.1,14.7,16.7,48,"Hembra","Mugilidae"
"26","Eugerres plumieri",14.7,11.1,12.2,52,"Hembra","Gerreidae"
"27","Mugil incilis",33.5,26,30.6,269,"Macho","Mugilidae"
"28","Mugil incilis",30.1,23,27.4,228,"Macho","Mugilidae"
"29","Mugil incilis",31,24,28,233,"Macho","Mugilidae"
"30","Mugil incilis",30.5,24.5,27.8,189,"Macho","Mugilidae"
"31","Mugil incilis",28.9,23.3,26.4,194,"Macho","Mugilidae"
"32","Mugil incilis",31.5,25.2,29,210,"Hembra","Mugilidae"
"33","Mugil incilis",31,25,28.1,231,"Macho","Mugilidae"
"34","Mugil incilis",32,25.8,29.9,205,"Hembra","Mugilidae"
"35","Mugil incilis",33.4,25,30,266,"Hembra","Mugilidae"
"36","Caranx crysos",29,22.1,24.9,312,"Hembra","Carangidae"
"37","Caranx crysos",29.5,22.5,25.2,314,"Hembra","Carangidae"
"38","Caranx crysos",28.7,22,24.4,292,"Macho","Carangidae"
"39","Caranx crysos",28.9,21.9,24.5,273,"Macho","Carangidae"
"40","Caranx crysos",28.7,22.2,24.8,281,"Macho","Carangidae"
"41","Caranx crysos",29.7,23,25.5,326,"Macho","Carangidae"
"42","Mugil incilis",22.1,18,20.5,96,"Hembra","Mugilidae"
"43","Mugil incilis",24,19.8,22.5,131,"Hembra","Mugilidae"
"44","Caranx crysos",19.7,14.8,17.1,111,"Macho","Carangidae"
"45","Caranx crysos",18.7,14.2,16.3,95,"Macho","Carangidae"
"46","Mugil incilis",33.1,26.9,30.2,277,"Hembra","Mugilidae"
"47","Mugil incilis",32.9,25,29.8,285,"Hembra","Mugilidae"
"48","Mugil incilis",34.4,27.6,31.3,276,"Hembra","Mugilidae"
"49","Caranx crysos",28.3,21.5,24,268,"Hembra","Carangidae"
"50","Caranx crysos",28.2,21.6,24,268,"Macho","Carangidae"
"51","Caranx crysos",28.5,22,24.5,275,"Hembra","Carangidae"
"52","Caranx crysos",27,21,23.3,225,"Hembra","Carangidae"
"53","Caranx crysos",29,22.5,25,285,"Macho","Carangidae"
"54","Caranx crysos",28.5,22.1,24,271,"Hembra","Carangidae"
"55","Caranx crysos",28,21.8,24,269,"Hembra","Carangidae"
"56","Mugil incilis",20.4,16.5,18.8,70,"Hembra","Mugilidae"
"57","Mugil incilis",18.7,15,17.1,56,"Hembra","Mugilidae"
"58","Mugil incilis",18.9,15.2,17.4,65,"Macho","Mugilidae"
"59","Mugil incilis",19.5,15.6,17.5,50,"Hembra","Mugilidae"
"60","Mugil incilis",32,25,29.5,284,"Hembra","Mugilidae"
"61","Mugil incilis",32,24,28.7,222,"Macho","Mugilidae"
"62","Mugil incilis",35.3,28.6,32.1,306,"Hembra","Mugilidae"
"63","Mugil incilis",29.2,23,26.5,162,"Macho","Mugilidae"
"64","Mugil incilis",35.6,29.4,32.6,310,"Macho","Mugilidae"
"65","Mugil incilis",31.3,25.2,28.6,227,"Macho","Mugilidae"
"66","Mugil incilis",22.3,18.2,20.6,95,"Hembra","Mugilidae"
"67","Mugil incilis",22.2,18.2,20.3,104,"Hembra","Mugilidae"
"68","Mugil incilis",22.2,18,20.5,85,"Hembra","Mugilidae"
"69","Mugil incilis",18.3,14.7,16.6,53,"Hembra","Mugilidae"
"70","Mugil incilis",37.5,30.3,34.5,358,"Hembra","Mugilidae"
"71","Mugil incilis",32.4,24.7,29.4,261,"Macho","Mugilidae"
"72","Mugil incilis",32,24.5,28.8,258,"Macho","Mugilidae"
"73","Mugil incilis",34.8,27.8,31.7,272,"Macho","Mugilidae"
"74","Mugil incilis",34.4,27.4,31.1,260,"Hembra","Mugilidae"
"75","Caranx crysos",28.5,21.8,24.4,255,"Hembra","Carangidae"
"76","Caranx crysos",29,22.2,24.9,296,"Macho","Carangidae"
"77","Caranx crysos",27.4,21.2,23.5,235,"Macho","Carangidae"
"78","Mugil incilis",33.9,27,31.4,312,"Macho","Mugilidae"
"79","Eugerres plumieri",17.1,12.4,13.9,68,"Hembra","Gerreidae"
"80","Mugil incilis",23.6,19,21.6,102,"Hembra","Mugilidae"
"81","Mugil incilis",35,27,32,308,"Hembra","Mugilidae"
"82","Mugil incilis",33.8,26.3,30.8,289,"Hembra","Mugilidae"
"83","Mugil incilis",35.5,27,31.7,320,"Macho","Mugilidae"
"84","Mugil incilis",34.3,25.7,30.7,280,"Hembra","Mugilidae"
"85","Mugil incilis",29.3,22.5,26.7,189,"Macho","Mugilidae"
